district,state,district_num,dem_candidate,rep_candidate,total_spending,spending_for,spending_against,dem_support,dem_oppose,rep_support,rep_oppose,net_dem_advantage,num_transactions,top_spenders
MN-05,MN,05,N/A,N/A,762536.3099999997,687596.3899999997,74939.92,0,0,0,0,0,101,"Minnesota Democratic-Farmer-Labor Party: $323,482 | TAKEACTION MN FEDERAL FUND: $174,866 | National Nurses United for Patient Protection: $122,375"
OR-04,OR,04,"HOYLE, VALERIE","DESPAIN, MONIQUE",675674.49,17615.170000000002,658059.32,17615.170000000002,452447.80000000005,0,205611.52,-229221.11000000004,27,"NRCC: $375,408 | HMP: $205,612 | A SAFER STRONGER OREGON PAC: $77,040"
OR-06,OR,06,"SALINAS, ANDREA","ERICKSON, MIKE",652366.94,42347.72,610019.22,42347.72,100783.6,0,509235.62,450799.74,21,"CHC BOLD PAC: $509,236 | OREGONIANS FOR TRUTH AND ACCOUNTABILITY PAC: $100,784 | National Association of Realtors Political Action Committee: $22,945"
IL-13,IL,13,"BUDZINSKI, NIKKI",N/A,635284.0,635284.0,0,635284.0,0,0,0,635284.0,5,"Fairshake: $582,374 | CENTER FORWARD COMMITTEE: $50,000 | DMFI PAC: $2,800"
NC-14,NC,14,"GENANT, PAMELA","MOORE, TIM",620005.05,620005.05,0,327.04999999999995,0,619678.0,0,-619350.95,11,"DEFEND AMERICAN JOBS: $506,553 | Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action: $85,650 | GOPAC Election Fund: $27,475"
IN-05,IN,05,N/A,"SPARTZ, VICTORIA",618956.75,496456.74999999994,122500.0,0,0,496456.74999999994,122500.0,-373956.74999999994,33,"Americans for Prosperity Action, Inc. (AFP Action) DBA CVA Action and DBA LIBRE Action: $284,968 | BUILDING A STRONG AMERICA: $161,488 | PRINCIPLED LEADERS PAC: $75,000"
AZ-02,AZ,02,"NEZ, JONATHAN MICHAEL","VAN ORDEN, DERRICK F. MR.",618772.25,567615.21,51157.04,0,51157.04,567615.21,0,-618772.25,175,"HOUSE FREEDOM FUND: $272,819 | CLUB FOR GROWTH ACTION: $107,546 | HOUSE FREEDOM ACTION: $92,321"
PA-01,PA,01,"EHASZ, ASHLEY","FITZPATRICK, BRIAN",618351.27,346482.75,271868.52,12279.220000000001,0,334203.53,271868.52,-50055.79000000004,72,"Defending America PAC: $267,879 | CENTER FORWARD INITIATIVE INC: $119,500 | EDF Action Votes: $68,343"
KS-03,KS,03,"DAVIDS, SHARICE","REDDY, PRASANTH DR.",607377.9500000001,285237.55000000005,322140.4,195578.15,0,89659.4,322140.4,428059.15,15,"HMP: $322,140 | Shield PAC: $175,000 | AD ASTRA PAC: $79,659"
WA-08,WA,08,"SCHRIER, KIM DR.","CARMEN, GOERS",585349.46,210349.46,375000.0,210349.46,0,0,375000.0,585349.46,20,"HMP: $250,000 | Shield PAC: $175,000 | Pro-Choice Majority 2024: $125,000"
IL-07,IL,07,"COLLINS, KINA",N/A,543593.7499999999,49140.57,494453.17999999993,49140.57,494453.17999999993,0,0,-445312.6099999999,14,"UNITED DEMOCRACY PROJECT (UDP): $494,453 | National Association of Realtors Political Action Committee: $49,141"
FL-22,FL,22,"FRANKEL, LOIS J.","GUTMANN, ANDREW",525586.92,400086.92000000004,125500.0,42019.919999999984,106500.0,358067.0,19000.0,-403547.08,170,"SUNSHINE PAC: $358,067 | PROTECT AMERICA PAC: $106,500 | UNITED VETERANS ALLIANCE OF AMERICA PAC: $42,020"
NV-01,NV,01,"TITUS, DINA","ROBERTSON, MARK",506208.30999999994,505140.48999999993,1067.82,504145.48999999993,1065.72,995.0,2.1,502086.86999999994,61,"WORKERS VOTE: $433,036 | For Our Future: $23,237 | SEIU COPE (Service Employees International Union Committee On Political Education): $16,885"
